"Cod Mun","Municipio","Cod Dep","Departamento","Latitud","Longitud"
"63001","Armenia","63","Quindio","4.5338889","-75.6811111"
"8001","Barranquilla","8","Atlantico","10.9638889","-74.7963889"
"11001","Bogota D.C.","25","Cundinamarca","4.6","-74.0833333"
"68001","Bucaramanga","68","Santander","7.1297222","-73.1258333"
"13001","Cartagena","13","Bolivar","10.3997222","-75.5144444"
"54001","Cucuta","54","Norte de Santander","7.8833333","-72.5052778"
"5129","Caldas","5","Antioquia","6.09","-75.635568"
"5001","Medellin","5","Antioquia","6.2913889","-75.5361111"
"23001","Monteria","23","Cordoba","8.7575","-75.89"
"76520","Palmira","76","Valle del Cauca","3.5394444","-76.3036111"
"66001","Pereira","66","Risaralda","4.8133333","-75.6961111"
"52001","Pasto","52","Narino","1.2146707368165","-77.27864742279"
"8758","Soledad","8","Atlantico","10.9172222","-74.7666667"
"76834","Tulua","76","Valle del Cauca","4.0866667","-76.2"
"20001","Valledupar","20","Cesar","10.4769444","-73.2505556"
