"Costo Peajes","Armenia","Barranquilla","Bogota D.C.","Bucaramanga","Cartagena","Cucuta","Caldas","Medellin","Monteria","Palmira","Pereira","Pasto","Soledad","Tulua","Valledupar"
"Armenia","0.00","138800.00","55400.00","72600.00","164500.00","87700.00","57500.00","57500.00","134200.00","49600.00","15300.00","78500.00","138800.00","49600.00","100000.00"
"Barranquilla","138800.00","0.00","142500.00","88100.00","33500.00","68700.00","112400.00","112400.00","41000.00","193300.00","141900.00","222200.00","0.00","193300.00","49300.00"
"Bogota D.C.","55400.00","142500.00","0.00","55100.00","130800.00","42600.00","74800.00","112400.00","137900.00","104900.00","70700.00","133900.00","142500.00","104900.00","103700.00"
"Bucaramanga","72600.00","88100.00","55100.00","0.00","76400.00","15100.00","70100.00","70100.00","86600.00","127100.00","75700.00","156000.00","88100.00","127100.00","49300.00"
"Cartagena","164500.00","33500.00","130800.00","76400.00","0.00","57000.00","107000.00","107000.00","54500.00","200600.00","149200.00","229500.00","33500.00","200600.00","37600.00"
"Cucuta","87700.00","68700.00","42600.00","15100.00","57000.00","0.00","85200.00","85200.00","67200.00","142200.00","90800.00","171100.00","68700.00","142200.00","29900.00"
"Caldas","57500.00","112400.00","74800.00","70100.00","107000.00","85200.00","0.00","0.00","90700.00","93600.00","42200.00","122500.00","112400.00","93600.00","97500.00"
"Medellin","57500.00","112400.00","74800.00","70100.00","107000.00","85200.00","0.00","0.00","90700.00","93600.00","42200.00","122500.00","112400.00","93600.00","97500.00"
"Monteria","134200.00","41000.00","137900.00","86600.00","54500.00","67200.00","90700.00","90700.00","0.00","170300.00","118900.00","199200.00","41000.00","170300.00","47800.00"
"Palmira","49600.00","193300.00","104900.00","127100.00","200600.00","142200.00","93600.00","93600.00","170300.00","0.00","51400.00","38600.00","193300.00","0.00","154500.00"
"Pereira","15300.00","141900.00","70700.00","75700.00","149200.00","90800.00","42200.00","42200.00","118900.00","51400.00","0.00","80300.00","141900.00","51400.00","103100.00"
"Pasto","78500.00","222200.00","133900.00","156000.00","229500.00","171100.00","122500.00","122500.00","199200.00","38600.00","80300.00","0.00","222200.00","38600.00","183400.00"
"Soledad","138800.00","0.00","142500.00","88100.00","33500.00","68700.00","112400.00","112400.00","41000.00","193300.00","141900.00","222200.00","0.00","193300.00","49300.00"
"Tulua","49600.00","193300.00","104900.00","127100.00","200600.00","142200.00","93600.00","93600.00","170300.00","0.00","51400.00","38600.00","193300.00","0.00","154500.00"
"Valledupar","100000.00","49300.00","103700.00","49300.00","37600.00","29900.00","97500.00","97500.00","47800.00","154500.00","103100.00","183400.00","49300.00","154500.00","0.00"
