"Tiempo viaje","Armenia","Barranquilla","Bogota D.C.","Bucaramanga","Cartagena","Cucuta","Caldas","Medellin","Monteria","Palmira","Pereira","Pasto","Soledad","Tulua","Valledupar"
"Armenia","0.00","18.05","5.61","9.91","17.05","14.91","5.25","5.25","14.70","2.79","1.00","9.61","18.05","2.79","14.77"
"Barranquilla","18.05","0.00","17.95","9.17","2.03","12.22","12.03","12.03","6.12","18.98","16.17","26.00","0.00","18.98","5.58"
"Bogota D.C.","5.61","17.95","0.00","7.60","19.17","11.50","8.17","8.17","15.50","8.68","6.08","15.16","17.95","8.68","12.82"
"Bucaramanga","9.91","9.17","7.60","0.00","11.82","4.95","8.20","8.20","11.80","14.08","9.87","19.60","9.17","14.08","7.15"
"Cartagena","17.05","2.03","19.17","11.82","0.00","13.34","11.80","11.80","5.10","19.47","15.90","26.00","2.03","19.47","6.92"
"Cucuta","14.91","12.22","11.50","4.95","13.34","0.00","11.38","11.38","14.47","17.15","14.52","24.00","12.22","17.15","9.60"
"Caldas","5.25","12.03","8.17","8.20","11.80","11.38","0.00","0.00","7.42","7.75","4.08","14.48","12.03","7.75","11.55"
"Medellin","5.25","12.03","8.17","8.20","11.80","11.38","0.00","0.00","7.42","7.75","4.08","14.48","12.03","7.75","11.55"
"Monteria","14.70","6.12","15.50","11.80","5.10","14.47","7.42","7.42","0.00","14.52","12.12","21.97","6.12","14.52","7.88"
"Palmira","2.79","18.98","8.68","14.08","19.47","17.15","7.75","7.75","14.52","0.00","4.13","7.27","18.98","0.00","16.83"
"Pereira","1.00","16.17","6.08","9.87","15.90","14.52","4.08","4.08","12.12","4.13","0.00","9.50","16.17","4.13","14.27"
"Pasto","9.61","26.00","15.16","19.60","26.00","24.00","14.48","14.48","21.97","7.27","9.50","0.00","26.00","7.27","23.37"
"Soledad","18.05","0.00","17.95","9.17","2.03","12.22","12.03","12.03","6.12","18.98","16.17","26.00","0.00","18.98","5.58"
"Tulua","2.79","18.98","8.68","14.08","19.47","17.15","7.75","7.75","14.52","0.00","4.13","7.27","18.98","0.00","16.83"
"Valledupar","14.77","5.58","12.82","7.15","6.92","9.60","11.55","11.55","7.88","16.83","14.27","23.37","5.58","16.83","0.00"
